cidade;ano;prev;lat;lon
aracaju;2007;0.052736;-10.90;-37.07
belem;2007;0.048659;-5.53;-52.29
belo_horizonte;2007;0.063184;-18.10;-44.38
boa_vista;2007;0.033814;1.89;-61.22
campo_grande;2007;0.057740;-20.51;-54.54
cuiaba;2007;0.069223;-12.64;-55.42
curitiba;2007;0.058209;-24.89;-51.55
distrito_federal;2007;0.050822;-15.83;-47.86
florianopolis;2007;0.065435;-27.33;-49.44
fortaleza;2007;0.057214;-3.71;-38.54
goiania;2007;0.049727;-16.64;-49.31
joao_pessoa;2007;0.067594;-7.06;-35.55
macapa;2007;0.044279;1.41;-51.77
maceio;2007;0.065574;-9.71;-35.73
manaus;2007;0.044798;-3.07;-61.66
natal;2007;0.079026;-5.22;-36.52
palmas;2007;0.043825;-10.25;-48.25
porto_alegre;2007;0.067433;-30.01;-51.22
porto_velho;2007;0.048259;-11.22;-62.80
recife;2007;0.068623;-8.28;-35.07
rio_branco;2007;0.049751;-8.77;-70.55
rio_de_janeiro;2007;0.067797;-22.84;-43.15
salvador;2007;0.058209;-12.96;-38.51
sao_luis;2007;0.056219;-2.55;-44.30
sao_paulo;2007;0.073280;-23.55;-46.64
teresina;2007;0.053234;-8.28;-43.68
vitoria;2007;0.050746;-19.19;-40.34
aracaju;2008;0.081430;-10.90;-37.07
belem;2008;0.053181;-5.53;-52.29
belo_horizonte;2008;0.060020;-18.10;-44.38
boa_vista;2008;0.041232;1.89;-61.22
campo_grande;2008;0.079026;-20.51;-54.54
cuiaba;2008;0.060139;-12.64;-55.42
curitiba;2008;0.064115;-24.89;-51.55
distrito_federal;2008;0.059613;-15.83;-47.86
florianopolis;2008;0.062655;-27.33;-49.44
fortaleza;2008;0.063682;-3.71;-38.54
goiania;2008;0.054618;-16.64;-49.31
joao_pessoa;2008;0.067594;-7.06;-35.55
macapa;2008;0.051639;1.41;-51.77
maceio;2008;0.064980;-9.71;-35.73
manaus;2008;0.049205;-3.07;-61.66
natal;2008;0.077266;-5.22;-36.52
palmas;2008;0.035750;-10.25;-48.25
porto_alegre;2008;0.073522;-30.01;-51.22
porto_velho;2008;0.056604;-11.22;-62.80
recife;2008;0.067164;-8.28;-35.07
rio_branco;2008;0.049702;-8.77;-70.55
rio_de_janeiro;2008;0.089916;-22.84;-43.15
salvador;2008;0.056163;-12.96;-38.51
sao_luis;2008;0.046696;-2.55;-44.30
sao_paulo;2008;0.081470;-23.55;-46.64
teresina;2008;0.058093;-8.28;-43.68
vitoria;2008;0.060109;-19.19;-40.34
aracaju;2009;0.062562;-10.90;-37.07
belem;2009;0.062624;-5.53;-52.29
belo_horizonte;2009;0.070612;-18.10;-44.38
boa_vista;2009;0.048259;1.89;-61.22
campo_grande;2009;0.080477;-20.51;-54.54
cuiaba;2009;0.064612;-12.64;-55.42
curitiba;2009;0.078451;-24.89;-51.55
distrito_federal;2009;0.059701;-15.83;-47.86
florianopolis;2009;0.073098;-27.33;-49.44
fortaleza;2009;0.071606;-3.71;-38.54
goiania;2009;0.073098;-16.64;-49.31
joao_pessoa;2009;0.070184;-7.06;-35.55
macapa;2009;0.049751;1.41;-51.77
maceio;2009;0.083002;-9.71;-35.73
manaus;2009;0.062345;-3.07;-61.66
natal;2009;0.068676;-5.22;-36.52
palmas;2009;0.045726;-10.25;-48.25
porto_alegre;2009;0.070647;-30.01;-51.22
porto_velho;2009;0.056296;-11.22;-62.80
recife;2009;0.081095;-8.28;-35.07
rio_branco;2009;0.054375;-8.77;-70.55
rio_de_janeiro;2009;0.090005;-22.84;-43.15
salvador;2009;0.068317;-12.96;-38.51
sao_luis;2009;0.062158;-2.55;-44.30
sao_paulo;2009;0.077612;-23.55;-46.64
teresina;2009;0.059672;-8.28;-43.68
vitoria;2009;0.064388;-19.19;-40.34
aracaju;2010;0.078265;-10.90;-37.07
belem;2010;0.067198;-5.53;-52.29
belo_horizonte;2010;0.079721;-18.10;-44.38
boa_vista;2010;0.060921;1.89;-61.22
campo_grande;2010;0.080597;-20.51;-54.54
cuiaba;2010;0.088557;-12.64;-55.42
curitiba;2010;0.090050;-24.89;-51.55
distrito_federal;2010;0.078343;-15.83;-47.86
florianopolis;2010;0.088690;-27.33;-49.44
fortaleza;2010;0.075584;-3.71;-38.54
goiania;2010;0.075547;-16.64;-49.31
joao_pessoa;2010;0.066634;-7.06;-35.55
macapa;2010;0.059880;1.41;-51.77
maceio;2010;0.083707;-9.71;-35.73
manaus;2010;0.058627;-3.07;-61.66
natal;2010;0.077268;-5.22;-36.52
palmas;2010;0.052763;-10.25;-48.25
porto_alegre;2010;0.086284;-30.01;-51.22
porto_velho;2010;0.059761;-11.22;-62.80
recife;2010;0.073317;-8.28;-35.07
rio_branco;2010;0.063988;-8.77;-70.55
rio_de_janeiro;2010;0.106129;-22.84;-43.15
salvador;2010;0.060229;-12.96;-38.51
sao_luis;2010;0.071252;-2.55;-44.30
sao_paulo;2010;0.091633;-23.55;-46.64
